apogeeAltitude,apogeeX,apogeeY,impactX,impactY,impactVelocity
39629.132992539715,4947.535112712622,-15110.382216418806,-2334.8772555479136,-19964.21652203513,-14.860061573077743
34307.681228657144,3652.5728694485397,-12669.641386514839,-2719.849774248905,-17315.015894747256,-14.860068147936833
36875.27334416396,2111.722376008963,-13975.975580842434,-4377.906026975987,-20074.40935449676,-14.865864091792698
34705.40265040928,7446.198179213739,-9947.14590898577,2080.7462654907813,-13999.642797380717,-14.869515310685927
30233.86612124018,4198.2670515085965,-12330.49837743503,-1497.7567147443438,-16411.599390036114,-14.860063777826799
29668.01035592486,2418.415962241671,-13438.661722490795,-1961.8868532379468,-17171.58454756508,-14.831054162531357
35929.986307342944,4463.630524533499,-15078.390834855809,-2158.0300305329015,-19981.53568902715,-14.860064373056524
35880.68679477707,3233.9255545042265,-13140.954134986434,-3060.2541593106066,-17690.917663946242,-14.883710266229665
34268.001060882365,5104.431772600572,-12875.500250321056,-45.78533094331814,-17670.200864766004,-14.844939113797619
34667.79976352126,6710.244126156378,-11005.889581290134,1350.1722335421614,-15519.559451151119,-14.845378198985
37251.51918390904,2708.038494137142,-6213.163794110657,-4246.495411476925,-9916.498757800924,-14.860064348722561
32662.404479448094,6993.511377707364,-12621.693964715521,2038.7127626498639,-17293.934951129162,-14.845364090670362
26405.684293843533,6333.248229828481,-19172.834529196767,3373.6987466492783,-23220.300914036896,-14.871146790136299
34059.25552022848,-12.782777591172346,-16570.801049970436,-5445.434537192769,-21680.934887679814,-14.850240735970551
36023.02997816162,2064.0839643507097,5060.072300878708,-4369.219182275954,3208.84079042713,-14.856494893205426
39934.72122779247,3308.7419498611907,-10871.064541588989,-4187.239928324442,-15236.585598864032,-14.860061498051397
24937.121332404153,9376.840725435603,-21912.640495054515,5976.09429557749,-26008.341078258796,-14.845341983744694
29184.459752205516,8768.973680431238,-19685.685425205822,4060.878793466403,-24009.926442028303,-14.869500563470012
40008.70345971265,3533.373740700735,-8101.220450061804,-3866.7054643431293,-12076.638194479738,-14.860063632980195
36212.75871101439,2797.613524403105,-9845.907264462057,-3555.9551005400817,-13966.479977678053,-14.883713748213053
35396.64434384335,6051.461874148481,-11361.154450833435,851.5290318726836,-15912.812862304902,-14.844935833197082
32913.39715163451,4095.5954428628415,-12020.17565628573,-927.5538709069361,-16714.29858714131,-14.844935574493375
33787.50295980851,4788.552391354496,-11886.798870040293,-293.57866256466906,-16544.72699381447,-14.844940687673516
30860.46682581573,3577.6256908978085,-6468.048114203015,-1732.7117636762362,-10019.206749588957,-14.883716090014062
35677.43955126479,3401.3547211167925,-13616.02564604548,-2832.259831376912,-18253.71217219209,-14.883723224566502
35258.77400927051,785.6142309969772,-10441.37417736335,-4659.067508424895,-14802.435967769758,-14.850213491799423
32803.357631559775,1256.1062656949757,-10326.279327301465,-3632.450259415497,-14645.603163845606,-14.850235627801736
30617.14305729316,5356.548882581296,-15940.333905699532,1487.2567816879223,-20426.30327084413,-14.871162824827405
35019.75909817473,5381.191850275715,-15090.109799984077,46.65680751340659,-20106.147883314155,-14.844937578582183
32395.68310039929,5897.712314063354,-14719.5161831662,1166.5776703840684,-19667.86707566468,-14.844934413018766
40668.35891517251,3445.0755498518306,-10516.538845630243,-3656.182067906593,-14516.492420436289,-14.883725902066434
31336.121354711246,5788.352885591073,-14186.415303814694,1958.7307627867976,-18721.898255843775,-14.871137090337854
39958.03758138215,3460.8629118861113,-10079.465481031853,-3989.886433230985,-14344.487698127985,-14.860074809283269
32874.997583920216,8133.253720593051,-15830.175625247331,3208.64586954351,-20879.348456157637,-14.84539370477688
33488.21400242547,5996.685035593562,-11604.322591862654,596.0473702983455,-15915.988711657823,-14.869514651942307
41124.76904375134,4889.004431432058,-16143.347664556974,-2719.190852027255,-21100.963705720118,-14.860072383723196
33556.51457444058,5025.942945060202,-13348.734902865901,774.8368561928027,-18009.71941045423,-14.871146103945632
40337.12805073448,3243.231189546712,-11837.58176401468,-4365.509714913212,-16324.446797263005,-14.860053930088903
36662.9143867074,7887.082372209662,-18490.333871703308,2001.3345732639245,-23811.35122937017,-14.845380760136813
29056.835784636984,3170.8079254214067,-10878.431289308213,-2009.7570109394442,-14737.083007022753,-14.883717003098129
32100.897431477242,2328.994776704368,-18108.47815223651,-2531.9254178923575,-22903.14111284257,-14.831041549602194
36702.47796989891,5682.0954389291755,-11686.14414735822,-430.7166254271994,-15963.331648547317,-14.86950639920233
40680.21157855147,1057.7128230283543,3345.2220935286864,-6512.292466438136,1157.3074059761939,-14.85646892928741
36214.37814136104,2581.678017257476,-10587.798708513857,-4294.7399156609135,-14968.600670648524,-14.860052220302546
33003.72102238407,6485.478787634139,-16765.78938870794,1113.772504541312,-21672.936384776633,-14.869535858912265
33260.131512705324,1076.5530428031218,-14032.015841746268,-3994.5746478459664,-18817.91788629321,-14.850255698576312
29129.198968946224,4120.339099549556,-17418.958054069844,-21.91784987933856,-21332.074003112415,-14.831059548326193
28215.45528909738,5623.285804527178,-14787.841872522746,1473.7680929688024,-18916.12107819377,-14.844936372277555
37931.021168248466,5133.172158521106,-12626.269902591808,-1709.9200359970503,-17219.902120485065,-14.8600677582254
37388.824438172014,2309.0777183866453,3528.6351585855555,-4333.730743655159,1360.2791966418,-14.856472341031992
31798.641314532862,2493.432969855065,-18194.70123356021,-3096.811866340423,-24699.321258667,-14.865869900339817
35213.72067343923,3036.9453306622004,-7293.578187286045,-3486.655779292287,-11177.422586795896,-14.860050688070805
33619.02306848882,825.0673198849942,-14635.158036132554,-4361.746825336104,-19528.644858966345,-14.85024172407426
36213.95232930271,5216.052443955848,-16209.546673187046,391.3314279753616,-21168.825745147537,-14.871147586872839
34928.71397823734,2458.583394301395,-17390.106822869857,-3668.8837266934806,-23905.478868074042,-14.865882252860533
27267.985378870388,7541.380385610647,-12401.372363852011,3270.8236936707103,-16028.395605442465,-14.869617676800793
33627.55357125557,7954.122641586485,-13658.870367790747,2775.848000457594,-18212.885770790177,-14.869519329930736
36626.92259274775,5997.68408923684,-12230.317505257943,31.309137498154822,-16890.536469881965,-14.845392027006124
37246.118176077944,5802.790445124217,-11616.489295930489,-411.35830784527053,-15860.108784863181,-14.869496903849628
41576.334965567934,8450.117360634526,-18532.18946674681,1489.3018575225865,-23759.61236290683,-14.84539951615183
37622.36072534567,5444.299767985356,-7111.106206157985,-198.3870596649748,-11019.424144725082,-14.84493577007683
35693.84184865042,2807.399059419163,-10062.792746318968,-3252.884403789194,-15700.191982697976,-14.865867253914338
27399.610208055477,3438.8460576013695,-9469.316610351243,-1725.477789073118,-12940.198820527354,-14.860059812834187
33053.80771308861,5964.085059948585,-14565.943233425904,559.5655082582185,-19232.062316144064,-14.869515032772107
42570.03401181962,1396.098914739609,3261.464671178858,-6491.323800213668,1082.585507446716,-14.856455438183819
39945.70218780318,2816.7070046927875,-7762.134507622186,-4688.340578891762,-11696.218163105164,-14.860050847443135
26152.500564185582,6561.464366834426,-17115.850307268644,3713.8823602016487,-21034.07295620169,-14.871042333587816
