apogeeAltitude,apogeeX,apogeeY,impactX,impactY,impactVelocity,deploymentWind
7679.976553167697,157.24949414400953,-1182.2479895813851,-686.4918876073382,-1488.2263892289636,-21.483430052170792,41.05327351105455
7153.968498867058,81.13676981396542,-1063.7940030133575,-614.5379401854055,-1301.4966572409578,-21.70557288681245,37.68582420554745
8353.715759294604,49.93392608190786,-1718.154567756974,-805.0947184570641,-2552.4977169343524,-22.582060375562722,56.04942368261225
7529.726964840856,522.4768620474456,-975.2232535991143,-15.658029973558714,-986.0942699816533,-21.70558621005327,38.569959722507676
7307.970198196684,128.41514302185826,-1052.1033533413859,-598.2094196818892,-1302.3827148633843,-21.91958495153381,37.022139669279085
7049.142794110217,145.04100409272442,-1498.4759152939198,-37.67121240621045,-1712.0612984882932,-21.786824649259007,53.70759845682062
7405.499833732922,146.01194984452945,-1262.3506500913857,-626.7167851349947,-1547.0744873092583,-21.432850147812285,44.47474858264947
7750.517319354899,101.7523102543637,-1298.7875284797499,-523.9941042342597,-1641.395849548328,-21.60389026628842,44.41206511510457
7683.710387410324,241.21561266467685,-1153.9158427957368,-574.2667761139745,-1352.7988894383057,-21.54267405868538,40.52899736958852
7827.585096362094,454.8500786608107,-1163.5386859430462,-178.73380082366194,-1606.6834071341598,-21.766231142807026,42.6496146037457
7987.762208306151,86.13551456324394,-728.1930877186775,-837.0668062560354,-1013.327415095298,-21.61070420553795,24.841217140751514
7327.748962401068,479.3163068879098,-1321.9335950956386,-23.85049539684673,-1723.6674087657889,-21.512112780474673,49.550256259263946
6970.166589497942,391.5580657567363,-1562.5455572113333,483.3506449442275,-1838.8787124779649,-21.309904274340308,58.19065661514346
7812.144412710905,-101.63911102658028,-1526.6120533868618,-289.34114989617535,-1940.928852724607,-22.31421011932252,51.24028814467776
7612.20321992056,-14.75514145801268,186.92224341037272,-903.5844463803177,-239.91633620285904,-21.273962341949865,6.846971129710213
7920.365287193284,104.89577726322105,-1094.3900050166535,-807.0254211993392,-1419.9515740782278,-21.50863485688818,37.32432492561249
6600.12908930677,433.35726009338293,-1607.380205534168,145.11715704862513,-1961.944741351503,-21.140462293763434,61.858488407128526
7903.011160944512,602.2346872058075,-1773.9724360630623,-5.435145049075135,-1938.4232906594173,-21.703595968310026,63.81295854607309
8075.63741192086,98.24414773571206,-761.1721209333182,-898.7523210845661,-1068.1561570278884,-20.47952144088858,26.436856250508107
7968.32562504578,86.52154386048534,-1087.691057918818,-585.3157534150495,-1435.6174983697706,-21.774067760853264,36.59181360541927
7168.377498195364,259.9732225956537,-940.2758872287399,-451.2125567563662,-1041.1798243908522,-20.612713402075283,35.18117703472331
8161.990588004363,268.93443518688144,-1363.9087638508377,-663.5615156931171,-1652.0621193215134,-21.135553312466254,47.0395762117496
7464.5304231615255,269.6841510519558,-1262.2508714371309,-467.0128058767324,-1450.6261161022612,-22.17984928333727,44.52858943197901
6689.077717635405,140.78197305402045,-670.2801274978347,-168.32340255740021,-795.5218006941678,-21.348181433615835,25.114473253920092
8165.794104219893,87.39129292675347,-1159.2739971022424,-615.5690152981972,-1544.8865926663307,-22.179297470053992,38.41726398413984
7034.003553181876,-37.72014188285973,-1026.5326112026162,-102.79066058551496,-1275.515369907626,-21.50201514381474,36.48204669450856
7156.241509302984,-21.999362459258126,-772.3994318223014,-103.34356574525727,-1002.8609832659515,-21.33987611806424,27.286203718150293
7298.189442195257,432.48544020166514,-1643.1478153431624,483.69077850712034,-1977.5832111032844,-22.307059957518863,59.25049031694407
7457.281329773344,321.8143701645488,-1574.5983116179823,-425.8428807008957,-1794.799054042372,-21.77139204256466,55.942870045907874
7807.628676893952,395.5610854075438,-1507.5806230247576,-459.7210680095768,-1759.3352317627357,-20.921538978773466,53.97699582446659
