apogeeAltitude,apogeeX,apogeeY,impactX,impactY,impactVelocity,deploymentWind
39629.13299450422,4947.5359719143025,-15110.384129533919,356.2068011174912,-20357.667281926493,-20.58488432258963,180.8877924427408
34307.68122853663,3652.572927806007,-12669.641488980305,-422.6280429593358,-17506.971680303897,-20.624768175467537,161.60658212097843
36875.273344002984,2111.7224457990533,-13975.975784261644,-2221.4092199378133,-20027.900092216747,-20.651271330373348,164.55026570604915
34705.40267266374,7446.201733507737,-9947.149986287235,4510.727342174132,-14035.4858128414,-20.513770462741405,151.09251828580796
30233.866121498006,4198.267126933238,-12330.49848786211,459.49872151634054,-16367.596423306002,-20.45651987804804,172.1800349697822
29668.01039997921,2418.419409005052,-13438.675304504643,-533.820157644624,-17233.190640157194,-20.554394658567563,177.21111875318033
35929.98637716183,4463.63600744125,-15078.405488838605,218.39506220406759,-20336.466702118738,-20.395956181670847,187.6799649995661
35880.68689210287,3233.9301851213017,-13140.968473922094,-760.4666705910305,-18011.4156936124,-20.868350926838694,161.3611106567916
34268.00107370055,5104.4337291274,-12875.504125065669,2089.9955618061504,-17829.694334258947,-20.683014363430093,170.85653086237778
34667.79978073976,6710.246941130739,-11005.89336989197,3788.1299801522237,-15559.71575920958,-20.78492206824053,156.93929617666393
37251.51918390904,2708.038494140944,-6213.163794116065,-1840.1976950019823,-9690.75523286681,-20.55511484472643,78.71147055823674
32662.404494729522,6993.514868503208,-12621.699175664293,4229.857081445216,-17344.615949853764,-20.57104331610244,179.6235403884872
26405.68414810367,6333.248278412997,-19172.83466256343,4509.447622761052,-23139.361293632406,-20.579807647945312,281.2866457149844
34059.25552233699,-12.782499749708737,-16570.804091292204,-3821.3135362178273,-22154.828002845778,-20.879527533185936,204.8100752459109
36023.02997816162,2064.083964351771,5060.072300880243,-2157.7758378604058,4453.926432701392,-20.62800821509771,68.34117319421178
39934.72123162686,3308.7424691046426,-10871.065733034657,-1463.1528306468142,-15372.053252223224,-20.9347790103982,127.53735314748981
24937.120753470106,9376.842620493688,-21912.64456792729,7305.318283979481,-25862.77226960788,-20.52153860623403,337.56198872600936
29184.459469365316,8768.973775057428,-19685.68562169862,5951.731010872159,-24134.482971388836,-20.619013449962505,289.948898976869
40008.703545389486,3533.377206032537,-8101.2263631055475,-1267.1095007063027,-11993.035813355136,-20.474081767901815,99.80429261664186
36212.75871914222,2797.6142709142873,-9845.909146127296,-1186.8341225419244,-14075.804191419671,-21.122931804094456,121.14538787217056
35396.644421264114,6051.468603966318,-11361.164987031087,3218.403745976605,-16006.121959716282,-20.924660157836954,154.98954244676722
32913.397156812964,4095.596441499655,-12020.177814229693,1059.186726658168,-16766.668270209015,-20.799327827127392,159.36916628378037
33787.502959679194,4788.552465371519,-11886.798974900865,1790.5123218476092,-16614.395599858795,-20.71809887020398,156.9394979211444
30860.467064584296,3577.63291951345,-6468.058266551829,92.14887553580422,-9694.57057129881,-20.28657646927363,94.80464179446612
35677.43956314584,3401.3560449487527,-13616.02954335817,-563.6628701247679,-18603.31899808465,-20.753177445352414,170.76928296784342
35258.77402548741,785.6147761979354,-10441.377275324046,-2926.8330508487165,-14878.82641363215,-20.70039380606734,124.71310423158722
32803.35763314455,1256.1064627943858,-10326.280106431986,-2101.624392601856,-14644.456579154765,-20.326825134948738,131.51108281264177
30617.132202027715,5356.552210120475,-15940.34216087738,3041.011307361958,-20545.162417467203,-20.650049324085835,215.77202576175787
35019.75913889493,5381.1967893399615,-15090.121062667222,2259.132156978394,-20418.562659380772,-20.743434526023847,192.01581750290907
32395.683100560964,5897.712344459834,-14719.516218095423,3123.038767033839,-19821.734155291724,-20.465196104513957,200.28494504835828
40668.35892041296,3445.0761821585847,-10516.54026914552,-1101.9886380157443,-14715.182462616556,-20.720709752340355,124.41808238479612
31336.12135492514,5788.353223353397,-14186.415907503893,3666.7545542908338,-18834.315442252064,-20.868872821398284,195.47929819177673
39958.03758152827,3460.863013270585,-10079.465675211357,-1369.1753338374322,-14408.165554149506,-20.574077539134482,120.56758421851539
32874.993849505074,8133.259520434988,-15830.185275861944,5435.45307389047,-21117.501408744865,-20.428708983008047,224.22353605020248
33488.21402883744,5996.6883744248935,-11604.328020419476,2821.3933449125198,-16012.030154633921,-20.53895581938162,158.75687750846106
41124.769048730166,4889.005635837415,-16143.350601888658,38.814956776029575,-21553.576358657294,-20.56576678321981,189.69108739990733
33556.51464681501,5025.948542881507,-13348.747169042226,2603.5807136902617,-18206.44481221094,-20.71973860624081,173.32169423752356
40337.128135113264,3243.234957802476,-11837.591942286635,-1711.9191815749648,-16512.06581462582,-20.684617249950037,137.1499868578139
36662.91333039369,7887.082417651291,-18490.333927288873,4616.100011544789,-24344.424605189473,-20.761845056164805,235.46256632682494
29056.83578771872,3170.808825663971,-10878.43350048948,-245.00165964532698,-14538.831255930774,-20.798141455083172,149.36069266316883
32100.89004331509,2328.996599508519,-18108.487690629336,-847.7571018555552,-23418.696353021787,-20.88876107088846,230.3788466177717
36702.47802562555,5682.100361848432,-11686.152576481365,2047.2830786770633,-16163.490332248142,-20.62507697115798,151.6950798930687
40680.21160520598,1057.7132947626274,3345.2233179471455,-4115.269300590168,2242.2682634823245,-20.59826573322682,39.78283657738554
36214.37815767401,2581.6791441629257,-10587.801925357502,-1997.0746762750593,-15050.374196007353,-20.460491929077673,128.5956993436021
33003.71681124484,6485.482050845227,-16765.796420785173,3318.79523116005,-22045.687495246475,-20.570752039761903,222.73313209446428
33260.13151219157,1076.5532521846537,-14032.016881272606,-2381.279239257305,-19071.68758157496,-20.679113460428503,174.1356888781866
29129.1959748863,4120.339104294807,-17418.958092297715,1419.1857042880142,-21496.31097048519,-20.562756355144476,237.56248860794796
28215.434476035873,5623.287423788156,-14787.845396451452,3015.41633621788,-18779.23187162063,-20.58457088655701,213.9296209881431
37931.02127583924,5133.179298097226,-12626.28414892723,902.3087453640645,-17458.389581394527,-20.54302652340739,160.18064272572053
37388.824438172014,2309.0777183955893,3528.635158598041,-1973.7645168271752,2501.2183985143774,-20.78014923297305,50.81042394061371
31798.638181470757,2493.4331127486544,-18194.70180811649,-1308.1633532154967,-24656.86234131277,-20.406039869856254,234.59279750917247
35213.72069722769,3036.9467736540614,-7293.580775837726,-1153.4006636587633,-11014.648738461217,-20.66098598892087,94.37110213638276
33619.023113238996,825.0686746006808,-14635.168433222516,-2712.4118422000806,-19862.391831853784,-20.822574974820643,183.30276088242712
36213.95234424949,5216.0551389309785,-16209.553375366597,2427.054703595835,-21631.958721157942,-20.767320921558554,200.169636282844
34928.71397842694,2458.583953832595,-17390.10915245251,-1597.6343699122635,-24030.091909206083,-20.70537083818343,212.40497324323107
27267.984218827798,7541.380389978489,-12401.37237368909,4990.408195180533,-15818.921033118882,-20.81188336814703,197.30105944021815
33627.55361461676,7954.130004381214,-13658.88139955575,4962.8872124754735,-18412.6712583542,-19.996677657838372,198.46489579106245
36626.922592582305,5997.6842531217535,-12230.317726596728,2588.2222090898467,-17047.172419529077,-20.873925701909158,158.2724920119151
37246.1181968259,5802.793039728361,-11616.49358453378,2133.363419383368,-16063.564212313928,-20.69629916560565,149.6827794507295
41576.324893707,8450.118418014803,-18532.19126230774,4434.953156068416,-24282.12312082748,-20.668888536831627,223.67472548929084
37622.36078269093,5444.304092727892,-7111.110865483264,2190.1728572387347,-10824.421063349104,-20.574135560716158,104.57112041881614
35693.84186842369,2807.400412858425,-10062.79625654417,-1114.8610200484184,-15377.233273494996,-20.589512524947796,125.167024592631
27399.610248319696,3438.8500757807124,-9469.325398109937,5.536791343216412,-12673.913268662753,-20.685057464387917,137.88558048823427
